messageKey,,en,de,es,fr,pt,ru
material.encoded.ancientculturaldata,Pattern Beta Obelisk Data,Pattern Beta Obelisk Data,Beta-Muster-Obeliskendaten,Datos de obelisco de patrón beta,Données d''obélisque de type bêta,Dados de Obelisco de Padrão Beta,Данные с обелиска «Бета»
material.encoded.ancienthistoricaldata,Pattern Gamma Obelisk Data,Pattern Gamma Obelisk Data,Gamma-Muster-Obeliskendaten,Datos de obelisco de patrón gamma,Données d''obélisque de type gamma,Dados de Obelisco de Padrão Gama,Данные с обелиска «Гамма»
material.encoded.ancientlanguagedata,Pattern Delta Obelisk Data,Pattern Delta Obelisk Data,Delta-Muster-Obeliskendaten,Datos de obelisco de patrón delta,Données d''obélisque de type delta,Dados de Obelisco de Padrão Delta,Данные с обелиска «Дельта»
material.encoded.ancienttechnologicaldata,Pattern Epsilon Obelisk Data,Pattern Epsilon Obelisk Data,Epsilon-Muster-Obeliskendaten,Datos de obelisco de patrón epsilon,Données d''obélisque de type epsilon,Dados de Obelisco de Padrão Epsilon,Данные с обелиска «Эпсилон»
material.encoded.archivedemissiondata,Irregular Emission Data,Irregular Emission Data,Irreguläre Emissionsdaten,Datos de emisión irregulares,Données d''émissions aberrantes,Dados de emissão irregulares,Нестандартные данные об излучении
material.encoded.bulkscandata,Anomalous Bulk Scan Data,Anomalous Bulk Scan Data,Anormale Massen-Scan-Daten,Datos de escáner en bruto anómalos,Fichier volumineux de données d''analyse anormal,Dados brutos de escâner anômalos,Аномальный массив данных сканирования
material.encoded.classifiedscandata,Classified Scan Fragment,Classified Scan Fragment,Geheimes Scan-Fragment,Fragmento de escáner clasificado,Données d''analyse classifiées parcellaires,Fragmentos de escaneamentos confidenciais,Засекреченные фрагменты данных сканирования
material.encoded.compactemissionsdata,Abnormal Compact Emissions Data,Abnormal Compact Emissions Data,Anormale kompakte Emissionsdaten,Compresión de datos de transmisiones anormal,Données d''émissions compactes anormales,Dados de emissão compactos anormais,Аномальные компактные данные об излучении
material.encoded.consumerfirmware,Modified Consumer Firmware,Modified Consumer Firmware,Modifizierte Consumer-Firmware,Firmware de consumo modificado,Micrologiciel consommateur modifié,Firmware de consumo modificado,Измененные пользовательские микропрограммы
material.encoded.dataminedwake,Datamined Wake Exceptions,Datamined Wake Exceptions,FSA-Daten-Cache-Ausnahmen,Excepciones en análisis de estelas,Explorations de données de sillages anormales,Exceções de dados processados de rastros,Исключения из глубинного анализа данных следа
material.encoded.decodedemissiondata,Decoded Emission Data,Decoded Emission Data,Entschlüsselte Emissionsdaten,Datos de emisión descodificados,Données d''émissions décodées,Dados de emissão decodificados,Расшифрованные данные об излучении
material.encoded.disruptedwakeechoes,Atypical Disrupted Wake Echoes,Atypical Disrupted Wake Echoes,Atypische FSA-Stör-Aufzeichnungen,Ecos de estelas interrumpidas atípicos,Échos de sillages perturbés atypiques,Interferência atípica no eco de rastros,Атипичное эхо поврежденного следа
material.encoded.embeddedfirmware,Modified Embedded Firmware,Modified Embedded Firmware,Modifizierte integrierte Firmware,Firmware integrado modificado,Micrologiciel intégré modifié,Firmware embutido modificado,Измененные встроенные микропрограммы
material.encoded.emissiondata,Unexpected Emission Data,Unexpected Emission Data,Unerwartete Emissionsdaten,Datos de emisión inesperados,Données d''émissions inattendues,Dados de emissão inesperados,Неожиданные данные об излучении
material.encoded.encodedscandata,Divergent Scan Data,Divergent Scan Data,Divergente Scandaten,Datos de escáner divergentes,Données d''analyse divergentes,Dados escaneados divergentes,Неформатные данные сканирования
material.encoded.encryptedfiles,Unusual Encrypted Files,Unusual Encrypted Files,Ungewöhnliche verschlüsselte Files,Ficheros encriptados inusuales,Fichiers cryptés inhabituels,Arquivos criptografados incomuns,Особые зашифрованные файлы
material.encoded.encryptionarchives,Atypical Encryption Archives,Atypical Encryption Archives,Atypische Verschlüsselungsarchive,Archivos encriptados atípicos,Archives cryptées atypiques,Arquivos de encriptação atípicos,Нетипичные архивы шифрования
material.encoded.encryptioncodes,Tagged Encryption Codes,Tagged Encryption Codes,Getaggte Verschlüsselungscodes,Códigos de encriptación marcados,Clés de cryptage balisées,Códigos de encriptação rotulados,Меченые шифровальные коды
material.encoded.fsdtelemetry,Anomalous FSD Telemetry,Anomalous FSD Telemetry,Anormale FSA-Telemetrie,Telemetría de MDD anómala,Télémétrie FSD anormale,Telemetria anômala de MDD,Аномальная телеметрия FSD
material.encoded.guardian_moduleblueprint,Guardian Module Blueprint Fragment,Guardian Module Blueprint Fragment,Guardian-Modulbauplansegment,Segmento de plano de módulo de guardián,Fragment de plan de module - Guardians,Segmento de diagrama de módulo Guardian,Фрагмент чертежа модуля Стражей
material.encoded.guardian_vesselblueprint,Guardian Vessel Blueprint Fragment,Guardian Vessel Blueprint Fragment,Guardian-Schiffsbauplansegment,Segmento de plano de nave de guardián,Fragment de plan de vaisseau - Guardians,Segmento de diagrama de nave Guardian,Фрагмент чертежа судна Стражей
material.encoded.guardian_weaponblueprint,Guardian Weapon Blueprint Fragment,Guardian Weapon Blueprint Fragment,Guardian-Waffenbauplansegment,Segmento de plano de armamento de guardián,Fragment de plan d''arme - Guardians,Segmento de diagrama de arma Guardian,Фрагмент чертежа оружия Стражей
material.encoded.hyperspacetrajectories,Eccentric Hyperspace Trajectories,Eccentric Hyperspace Trajectories,Exzentrische Hyperraum-Routen,Trayectorias de hiperespacio excéntricas,Trajectoires d''hyperespace excentriques,Trajetórias excêntricas de hiperespaço,Аномальные траектории в гиперпространстве
material.encoded.industrialfirmware,Cracked Industrial Firmware,Cracked Industrial Firmware,Gecrackte Industrie-Firmware,Firmware industrial pirateado,Micrologiciel industriel piraté,Firmware industrial quebrado,Взломанные промышленные микропрограммы
material.encoded.legacyfirmware,Specialised Legacy Firmware,Specialised Legacy Firmware,Spezial-Legacy-Firmware,Firmware heredado especializado,Micrologiciel spécialisé périmé,Firmware especializado antigo,Специальные микропрограммы предыдущего поколения
material.encoded.scanarchives,Unidentified Scan Archives,Unidentified Scan Archives,Unidentifizierte Scan-Archive,Archivos de escáner no identificados,Données d''analyse archivées non identifiées,Arquivos de escaneamento não identificados,Неопознанные архивы сканирования
material.encoded.scandatabanks,Classified Scan Databanks,Classified Scan Databanks,Scan-Datenbanken unter Verschluss,Datos de escáner clasificados,Banques de données d''analyse classifiées,Banco de dados de escaneamento confidenciais,Засекреченные базы данных сканирования
material.encoded.scrambledemissiondata,Exceptional Scrambled Emission Data,Exceptional Scrambled Emission Data,Außergewöhnliche verschlüsselte Emissionsdaten,Datos de transmisiones codificadas excepcionales,Données d''émissions brouillées exceptionnelles,Exceção nos dados de emissão embaralhados,Исключительные зашифрованные данные об излучении
material.encoded.securityfirmware,Security Firmware Patch,Security Firmware Patch,Sicherheits-Firmware-Patch,Parche de firmware de seguridad,Mise à jour de micrologiciel de sécurité,Atualização de firmware de segurança,Обновление для защитной микропрограммы
material.encoded.shieldcyclerecordings,Distorted Shield Cycle Recordings,Distorted Shield Cycle Recordings,Gestörte Schildzyklus-Aufzeichnungen,Registros de ciclo de escudo distorsionados,Enregistrements de cycles de bouclier déformés,Registros distorcidos de ciclos de escudo,Поврежденные цикличные записи щита
material.encoded.shielddensityreports,Untypical Shield Scans,Untypical Shield Scans,Untypische Schildscans,Escáner de escudos atípico,Analyses de bouclier atypiques,Escaneamentos de escudo atípicos,Нетипичные данные сканирования щитов
material.encoded.shieldfrequencydata,Peculiar Shield Frequency Data,Peculiar Shield Frequency Data,Verdächtige Schildfrequenz-Daten,Datos de frecuencias de escudo peculiares,Données de fréquences de bouclier singulières,Dados da frequência de escudos peculiares,Специфические данные о частоте щитов
material.encoded.shieldpatternanalysis,Aberrant Shield Pattern Analysis,Aberrant Shield Pattern Analysis,Abweichende Schildeinsatz-Analysen,Análisis de patrones de escudo aberrantes,Analyse de modèle de bouclier aberrante,Análise de padrão de escudos aberrante,Анализ аномального поведения щита
material.encoded.shieldsoakanalysis,Inconsistent Shield Soak Analysis,Inconsistent Shield Soak Analysis,Inkonsistente Schildleistungsanalysen,Análisis de absorción de escudos inconsistente,Analyse d''absorption de bouclier incohérente,Análise inconsistente de escudo atingidos,Неполный анализ поглощения щита
material.encoded.symmetrickeys,Open Symmetric Keys,Open Symmetric Keys,Offene symmetrische Schlüssel,Claves simétricas abiertas,Clés symétriques ouvertes,Chaves simétricas abertas,Открытые симметричные ключи
material.encoded.tg_compositiondata,Thargoid Material Composition Data,Thargoid Material Composition Data,Materialzusammensetzungsdaten der Thargoiden,Datos de composición material Thargoide,Données de composition de matériau thargoid,Dados de Composição de Material Thargoid,Данные о составе таргоидских материалов
material.encoded.tg_residuedata,Thargoid Residue Data,Thargoid Residue Data,Thargoiden-Rückstandsdaten,Datos residuales Thargoides,Données de résidu thargoid,Dados de Resíduos Thargoid,Данных об осадке таргоидского происхождения
